word,sense,pos,ipa,lemma,syllabification,etymology,definitions,url,sinonimos,traducoes,rimas,vizinhas,parecidas,relacionadas,pesquisa
desprezo,contempt,NOUN,dɨʃˈpɾezu,,des.pre.zo,Derivação regressiva de desprezar,ato ou efeito de desprezar; falta de estima ou apreço; desconsideração por alguém ou por alguma coisa,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desprezo,bombarato | contempto | dedignação,,,desprezavelmente | desprezibilidade | desprezível,,,abjeção | apre | arreda
desprezo,despise,VERB,dɨʃˈpɾɛzu,desprezar,des.pre.zo,Derivação regressiva de desprezar,não prezar; votar ao desprezo; não fazer caso de; rebaixar-se; envergonhar-se,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desprezo,bombarato | contempto | dedignação,,,desprezavelmente | desprezibilidade | desprezível,,,abjeção | apre | arreda
enredo,plot,NOUN,ẽˈʁedu,,en.re.do,Derivação regressiva de enredar,ato de enredar ou enredar-se; embaraço; situação complicada; confusão; intriga; conjunto de acontecimentos que constituem a ação de uma narrativa,https://www.infopedia.pt/dicionarios/lingua-portuguesa/enredo,alhada | ardil | argumento,,bredo | citaredo | credo,,,,bisbilhotice | caraminhola | desenredar
enredo,entangle,VERB,ẽˈʁɛdu,enredar,en.re.do,Derivação regressiva de enredar,"colher na rede; armar rede a; emaranhar; confundir; comprometer; dilatar; trabalhar pouco, estorvando quem trabalha; prender-se na rede; emaranhar-se; enlear-se",https://www.infopedia.pt/dicionarios/lingua-portuguesa/enredo,alhada | ardil | argumento,,bredo | citaredo | credo,,,,bisbilhotice | caraminhola | desenredar
desenredo,denouement,NOUN,dɨzẽˈʁedu,,de.sen.re.do,Derivação regressiva de desenredar,"separação do que está enredado ou emaranhado; descoberta ou neutralização de intriga, conspiração, etc.; desenlace; solução",https://www.infopedia.pt/dicionarios/lingua-portuguesa/desenredo,chave | desfecho | epílogo,,alvoredo | asneiredo | azeredo,desenredado | desenredador | desenredamento,,,
desenredo,disentangle,VERB,dɨzẽˈʁɛdu,desenredar,de.sen.re.do,Derivação regressiva de desenredar,desfazer o enredo de; resolver; explicar; tirar de apuros,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desenredo,chave | desfecho | epílogo,,alvoredo | asneiredo | azeredo,desenredado | desenredador | desenredamento,,,
espeto,skewer,NOUN,ɨʃˈpetu,,es.pe.to,"Do germânico speuta, «espeto»","haste de ferro ou pau em que se enfia carne, peixe, etc. para assar; pau aguçado numa das extremidades; pessoa alta e muito magra; incómodo",https://www.infopedia.pt/dicionarios/lingua-portuguesa/espeto,aborrecimento | aguço | complicação,,arsenieto | aspeto | come-quieto,,aspeto | espato | esperto,,aguço | carapeto | churrasco
espeto,stab,VERB,ɨʃˈpɛtu,espetar,es.pe.to,"Do germânico speuta, «espeto»","atravessar ou furar com espeto ou objeto pontiagudo; fazer passar de um lado para o outro; dar; pôr; ficar atravessado por objeto pontiagudo; meter-se; sofrer um fracasso; comprometer-se; pôr ou ficar para cima, na vertical; ter uma queda ou acidente",https://www.infopedia.pt/dicionarios/lingua-portuguesa/espeto,aborrecimento | aguço | complicação,,arsenieto | aspeto | come-quieto,,aspeto | espato | esperto,,aguço | carapeto | churrasco
aperto,squeeze,NOUN,ɐˈpeɾtu,,a.per.to,Derivação regressiva de apertar,"ato ou efeito de apertar, de segurar ou envolver fazendo pressão; aglomeração de pessoas em lugar pouco espaçoso; lugar apertado ou estreito; urgência; constrangimento (físico ou psicológico); situação difícil (sobretudo financeira); angústia; avareza; estreitamento de um canal ou de um orifício orgânico",https://www.infopedia.pt/dicionarios/lingua-portuguesa/aperto,aflição | afogo | agonia,,chico-esperto | desaperto | desperto,,aberto | acerto | apertão,,adstringência | afogadilho | -strição
aperto,tighten,VERB,ɐˈpɛɾtu,apertar,a.per.to,Derivação regressiva de apertar,cingir ou segurar fortemente; dispor coisas ou pessoas mais perto umas das outras de forma a ocuparem menos espaço; tornar menos largo; fazer mover (um elemento) de forma a fixar uma peça a outra ou a fechar um dispositivo; conservar fechado; unir com botões (vestuário); empurrar (alguém) contra um obstáculo; perseguir; instar com; ser muito justo; estar para acabar; aumentar de intensidade,https://www.infopedia.pt/dicionarios/lingua-portuguesa/aperto,aflição | afogo | agonia,,chico-esperto | desaperto | desperto,,aberto | acerto | apertão,,adstringência | afogadilho | -strição
desvelo,devotion,NOUN,dɨʒˈvelu,,des.ve.lo,Derivação regressiva de desvelar,cuidado carinhoso; vigilância; zelo; extremo carinho; objeto ou pessoa por quem se têm esses sentimentos,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desvelo,afeição | afeto | apreço,,andarivelo | bongoluelo | camuelo,,,,apanicar | cuidado | exação
desvelo,unveil,VERB,dɨʒˈvɛlu,desvelar,des.ve.lo,Derivação regressiva de desvelar,ter muito cuidado; esforçar-se; tirar o véu a; limpar; clarificar; manifestar; revelar,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desvelo,afeição | afeto | apreço,,andarivelo | bongoluelo | camuelo,,,,apanicar | cuidado | exação
repelo,hair_pull,NOUN,ʁɨˈpelu,,re.pe.lo,Derivação regressiva de repelar,sacudidela brusca,https://www.infopedia.pt/dicionarios/lingua-portuguesa/repelo,,,apelo | arrepelo | atropelo,repelência | repelente | repelido,rebelo | regelo | repelão,,
repelo,pluck,VERB,ʁɨˈpɛlu,repelar,re.pe.lo,Derivação regressiva de repelar,,https://www.infopedia.pt/dicionarios/lingua-portuguesa/repelo,,,apelo | arrepelo | atropelo,repelência | repelente | repelido,rebelo | regelo | repelão,,
arrepelo,hair_pulling,NOUN,ɐʁɨˈpelu,,ar.re.pe.lo,Derivação regressiva de arrepelar,,https://www.infopedia.pt/dicionarios/lingua-portuguesa/arrepelo,,,apelo | atropelo | bongoluelo,,,,
arrepelo,snatch,VERB,ɐʁɨˈpɛlu,arrepelar,ar.re.pe.lo,Derivação regressiva de arrepelar,"puxar (cabelos, pelos, penas); puxar com força; arrancar os próprios cabelos; desesperar-se; arrepender-se",https://www.infopedia.pt/dicionarios/lingua-portuguesa/arrepelo,,,apelo | atropelo | bongoluelo,,,,
congelo,freezing,NOUN,kõˈʒelu,,con.ge.lo,Derivação regressiva de congelar,ato ou efeito de congelar(-se); embargo,https://www.infopedia.pt/dicionarios/lingua-portuguesa/congelo,,,bongoluelo | camuelo | degelo,congelamento | congelante | congelar,,,
congelo,freeze,VERB,kõˈʒɛlu,congelar,con.ge.lo,Derivação regressiva de congelar,"fazer passar do estado líquido ao estado sólido através de um processo de arrefecimento; submeter a temperaturas baixas para conservar; solidificar; fixar (preços, salários); embargar a transferência de (capitais depositados); inibir ação ou reação de; tornar-se gelo; formar gelo; tornar-se frio como gelo; deixar (programa, equipamento) de responder a comandos",https://www.infopedia.pt/dicionarios/lingua-portuguesa/congelo,,,bongoluelo | camuelo | degelo,congelamento | congelante | congelar,,,
arremesso,throw,NOUN,ɐʁɨˈmesu,,ar.re.mes.so,Derivação regressiva de arremessar,"ato ou efeito de arremessar (-se), de atirar (-se) ou lançar (-se); o que se lança; ação ofensiva; gesto repentino | ímpeto; gesto ou movimento que indicia um ato; grande coragem",https://www.infopedia.pt/dicionarios/lingua-portuguesa/arremesso,acometimento | ameaça | arremessamento,,,,,,arremessamento | arrojeito | arrojo
arremesso,fling,VERB,ɐʁɨˈmɛsu,arremessar,ar.re.mes.so,Derivação regressiva de arremessar,atirar com força; lançar para longe de si; lançar-se; investir,https://www.infopedia.pt/dicionarios/lingua-portuguesa/arremesso,acometimento | ameaça | arremessamento,,,,,,arremessamento | arrojeito | arrojo
arremedo,imitation,NOUN,ɐʁɨˈmedu,,ar.re.me.do,Derivação regressiva de arremedar,ato ou efeito de arremedar; imitação imperfeita; semelhança vaga ou difusa; aparência; vestígio,https://www.infopedia.pt/dicionarios/lingua-portuguesa/arremedo,aparência | cópia | imitação,,aedo | medo | olmedo,,,,imitação
arremedo,mimic,VERB,ɐʁɨˈmɛdu,arremedar,ar.re.me.do,Derivação regressiva de arremedar,"imitar de modo grosseiro e provocador (os gestos, as falas, etc., de outrem); reproduzir, imitando; semelhar; contrafazer",https://www.infopedia.pt/dicionarios/lingua-portuguesa/arremedo,aparência | cópia | imitação,,aedo | medo | olmedo,,,,imitação
despego,detachment,NOUN,dɨʃˈpeɡu,,des.pe.go,Derivação regressiva de despegar,"ato ou efeito de despegar; falta de apego, de afeição",https://www.infopedia.pt/dicionarios/lingua-portuguesa/despego,desafeição | desafeto | desamor,,,,desapego | despejo | despeso,,despegamento
despego,detach,VERB,dɨʃˈpɛɡu,despegar,des.pe.go,Derivação regressiva de despegar,separar (o que está pegado); suspender (trabalho); desprender-se; perder o apego,https://www.infopedia.pt/dicionarios/lingua-portuguesa/despego,desafeição | desafeto | desamor,,,,desapego | despejo | despeso,,despegamento
desapego,indifference,NOUN,dɨzɐˈpeɡu,,de.sa.pe.go,Derivação regressiva de desapegar,indiferença; desamor; abandono,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desapego,abnegação | desafeição | desafeto,,,desapeçonhentar | desapegadamente | desapegado,,,desaferrar | desaferro | desapropriação
desapego,let_go,VERB,dɨzɐˈpɛɡu,desapegar,de.sa.pe.go,Derivação regressiva de desapegar,separar (o que está pegado); tornar menos afeiçoado; soltar-se; perder a afeição,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desapego,abnegação | desafeição | desafeto,,,desapeçonhentar | desapegadamente | desapegado,,,desaferrar | desaferro | desapropriação
apego,attachment,NOUN,ɐˈpeɡu,,a.pe.go,Derivação regressiva de apegar,ato ou efeito de apegar; sentimento que une uma pessoa às pessoas ou coisas de que gosta; tenacidade; timão da charrua,https://www.infopedia.pt/dicionarios/lingua-portuguesa/apego,aderência | adesão | afeição,,,,,,academismo | afeição | aferramento
apego,cling,VERB,ɐˈpɛɡu,apegar,a.pe.go,Derivação regressiva de apegar,pegar; ajuntar; transmitir; afeiçoar-se; valer-se; aferrar-se,https://www.infopedia.pt/dicionarios/lingua-portuguesa/apego,aderência | adesão | afeição,,,,,,academismo | afeição | aferramento
desemprego,noun,NOUN,dɨzẽˈpɾeɡu,,de.sem.pre.go,Derivação regressiva de desempregar,"falta de emprego; situação de quem, tendo condições e disposição para trabalhar, não tem emprego; quantidade de pessoas que não têm emprego (numa dada área ou em determinado setor de atividade)",https://www.infopedia.pt/dicionarios/lingua-portuguesa/desemprego,,,cabeça-de-prego | chasco-do-rego | larego,,,,auxílio-desemprego | boom | crise
desemprego,verb,VERB,dɨzẽˈpɾɛɡu,desempregar,de.sem.pre.go,Derivação regressiva de desempregar,tirar do emprego; sair do emprego,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desemprego,,,cabeça-de-prego | chasco-do-rego | larego,,,,auxílio-desemprego | boom | crise
desmantelo,dismantling,NOUN,dɨʒmɐ̃ˈtelu,,des.man.te.lo,Derivação regressiva de desmantelar,ato ou efeito de desmantelar(-se); menstruação; qualquer perturbação genital feminina,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desmantelo,,,butelo | camartelo | castelo,,,,
desmantelo,dismantle,VERB,dɨʒmɐ̃ˈtɛlu,desmantelar,des.man.te.lo,Derivação regressiva de desmantelar,"demolir (muralhas, paredes); desaparelhar (navios); desmanchar; desfazer (organização, sistema, etc.) de forma gradual, destruindo a unidade ou coerência; arrasar; desmoronar-se; desfazer-se de forma gradual, perdendo a unidade ou coerência",https://www.infopedia.pt/dicionarios/lingua-portuguesa/desmantelo,,,butelo | camartelo | castelo,,,,
atropelo,trampling,NOUN,ɐtɾuˈpelu,,a.tro.pe.lo,Derivação regressiva de atropelar,"ato ou efeito de atropelar; desrespeito por regra, princípio ou direito; atrapalhação | embaraço; confusão",https://www.infopedia.pt/dicionarios/lingua-portuguesa/atropelo,arbitrariedade | atabalhoamento | atropelamento,,apelo | arrepelo | camuelo,atropelado | atropelador | atropelamento,,,atropelação
atropelo,run_over,VERB,ɐtɾuˈpɛlu,atropelar,a.tro.pe.lo,Derivação regressiva de atropelar,"colidir (veículo em movimento) com (pessoa ou animal), provocando a sua queda e passado ou não por cima; abrir caminho de forma agressiva, empurrando e acotovelando; fazer mal; não respeitar os direitos de (outros), passando por cima deles para obter o que se quer; desrespeitar; vencer por larga margem; empurrar-se e acotovelar-se mutuamente; apinhar-se desordenadamente; apresentar-se em desordem; confundir-se",https://www.infopedia.pt/dicionarios/lingua-portuguesa/atropelo,arbitrariedade | atabalhoamento | atropelamento,,apelo | arrepelo | camuelo,atropelado | atropelador | atropelamento,,,atropelação
degelo,thaw,NOUN,dɨˈʒelu,,de.ge.lo,Derivação regressiva de degelar,"ato ou efeito de degelar; fenómeno de fusão paulatina das massas de gelo e de neve existentes à superfície da Terra, provocado pelo aumento da temperatura ambiente; superação gradual de uma situação ou de um estado de tensão",https://www.infopedia.pt/dicionarios/lingua-portuguesa/degelo,derretedura | descoagulação | descoalho,,bongoluelo | camuelo | congelo,,,aumento | degelar | estado,ablação | albufeira | caldeirão
degelo,thaw_out,VERB,dɨˈʒɛlu,degelar,de.ge.lo,Derivação regressiva de degelar,derreter o gelo de; aquecer,https://www.infopedia.pt/dicionarios/lingua-portuguesa/degelo,derretedura | descoagulação | descoalho,,bongoluelo | camuelo | congelo,,,aumento | degelar | estado,ablação | albufeira | caldeirão
desgelo,defrosting,NOUN,dɨˈʒelu,,des.ge.lo,Derivação regressiva de desgelar,,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desgelo,,,bongoluelo | camuelo | congelo,,,,
desgelo,defrost,VERB,dɨˈʒɛlu,desgelar,des.ge.lo,Derivação regressiva de desgelar,,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desgelo,,,bongoluelo | camuelo | congelo,,,,
desespero,despair,NOUN,dɨzɨʃˈpeɾu,,de.ses.pe.ro,Derivação regressiva de desesperar,falta de esperança acompanhada de sentimentos violentos de mágoa e/ou revolta; sensação de impotência; aflição,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desespero,aflição | desconsolação | desesperança,,destempero | exaspero | pero,,,,desesperado | desesperador | desesperante
desespero,despair_at,VERB,dɨzɨʃˈpɛɾu,desesperar,de.ses.pe.ro,Derivação regressiva de desesperar,tirar a esperança a; afligir; encolerizar; não ter esperança; encolerizar-se; afligir-se,https://www.infopedia.pt/dicionarios/lingua-portuguesa/desespero,aflição | desconsolação | desesperança,,destempero | exaspero | pero,,,,desesperado | desesperador | desesperante
escabelo,stool,NOUN,ɨʃkɐˈbelu,,es.ca.be.lo,"Do latim scabellu-, «idem», diminutivo de scamnu-, «escano; escabelo»","assento raso; banco baixo para descanso dos pés; banco comprido e largo, de assento móvel, que constitui uma caixa a que o assento serve de tampa",https://www.infopedia.pt/dicionarios/lingua-portuguesa/escabelo,,,andrebelo | arrepia-cabelo | bongoluelo,,,,escano | hipopódio | preguiceiro
